Index,Year,Month,Day,Start_Hour,End_Hour,Radar_Image_Hr,Radar_Image_Min,SG_Pass,LB_Pass,Date_Change_Event,Date_Change_Radar,Multiple_Band,48hrs_Not_Past,Sensitivity_Test,Associated_FFW,FFW_Start_Time,FFW_End_Time,WFO
56,2009,12,13,10,12,11,0,0,1,0,0,0,0,0,False,N/A,N/A,N/A
57,2010,1,18,22,1,23,40,1,1,1,0,0,0,0,True,2010-01-19 00:00:00,2010-01-19 01:00:00,SGX
58,2010,1,19,17,23,22,1,0,1,0,0,0,1,0,False,N/A,N/A,N/A
59,2010,1,20,23,4,1,5,0,1,1,1,0,1,0,True,2010-01-20 23:42:00,2010-01-21 02:30:00,LOX
60,2010,4,11,23,13,10,51,1,1,1,1,0,0,0,True,2010-04-12 07:36:00,2010-04-12 10:01:00,LOX
61,2010,11,21,9,18,12,28,1,1,0,0,0,0,0,True,2010-11-21 09:23:00,2010-11-21 10:45:00,LOX
62,2011,2,26,8,13,11,25,1,1,0,0,0,0,0,False,N/A,N/A,N/A
63,2011,3,20,9,17,15,5,0,0,0,0,1,1,1,True,2011-03-20 22:00:00,2011-03-21 00:45:00,LOX
64,2011,3,20,23,5,2,45,0,1,1,1,0,0,0,True,2011-03-21 00:47:00,2011-03-21 02:45:00,LOX
65,2011,11,6,17,21,18,54,0,0,0,0,0,0,1,False,N/A,N/A,N/A
66,2011,11,20,12,4,1,54,1,1,1,1,0,0,0,False,N/A,N/A,N/A
67,2012,3,17,18,21,19,1,0,0,0,0,0,0,0,False,N/A,N/A,N/A
68,2012,3,25,16,1,22,56,1,1,1,0,0,0,0,False,N/A,N/A,N/A
69,2012,4,13,13,23,22,30,1,1,0,0,0,0,0,False,N/A,N/A,N/A
70,2012,12,13,11,18,12,35,0,0,0,0,0,0,0,False,N/A,N/A,N/A
71,2013,3,8,9,13,11,5,0,1,0,0,0,0,0,False,N/A,N/A,N/A
72,2014,2,28,16,20,17,40,1,0,0,0,0,0,0,True,2014-02-28 23:18:00,2014-03-01 00:15:00,SGX
73,2014,2,28,21,1,23,30,1,1,1,0,1,1,1,True,2014-02-28 23:18:00,2014-03-01 00:15:00,SGX
74,2014,12,12,6,14,11,45,1,1,0,0,0,0,0,True,2014-12-12 07:04:00,2014-12-12 08:30:00,LOX
75,2016,1,31,18,0,21,58,1,1,1,0,0,0,0,True,2016-01-31 21:59:00,2016-02-01 01:00:00,SGX
76,2016,3,7,8,17,15,20,1,1,0,0,0,0,0,True,2016-03-07 12:44:00,2016-03-07 14:15:00,LOX
77,2016,3,11,18,1,22,55,1,1,1,0,0,0,0,True,2016-03-11 19:42:00,2016-03-11 21:30:00,LOX
78,2017,1,20,19,0,19,40,0,0,1,0,0,0,1,True,2017-01-20 22:38:00,2017-01-21 01:30:00,SGX
79,2017,2,17,22,4,1,30,1,1,1,1,0,0,0,True,2017-02-17 22:23:00,2017-02-18 01:15:00,LOX
80,2018,1,9,7,15,11,50,0,1,0,0,0,0,0,True,2018-01-09 10:56:00,2018-01-09 15:00:00,LOX
81,2019,1,5,20,9,5,48,0,1,1,1,0,0,0,True,2019-01-06 05:40:00,2019-01-06 07:27:00,LOX
82,2019,1,12,3,12,10,25,0,1,0,0,0,0,0,False,N/A,N/A,N/A
83,2019,1,14,17,19,17,44,0,0,0,0,0,0,0,False,N/A,N/A,N/A
84,2019,1,14,16,20,18,43,0,0,0,0,1,1,1,False,N/A,N/A,N/A
85,2019,1,31,11,22,19,3,0,1,0,0,0,0,0,False,N/A,N/A,N/A
86,2019,2,2,13,1,22,0,1,1,1,0,0,0,0,True,2019-02-02 22:35:00,2019-02-03 01:30:00,SGX
87,2019,2,4,12,19,13,50,0,0,0,0,0,1,0,True,2019-02-04 17:27:00,2019-02-04 19:48:00,LOX
88,2019,11,27,13,16,14,58,0,0,0,0,0,0,0,False,N/A,N/A,N/A
89,2019,11,28,15,20,17,53,0,0,0,0,0,1,0,True,2019-11-28 17:22:00,2019-11-28 20:15:00,SGX
90,2019,12,23,12,15,13,48,0,0,0,0,0,0,0,False,N/A,N/A,N/A
91,2019,12,26,9,16,10,50,0,0,0,0,0,0,0,False,N/A,N/A,N/A
92,2020,3,16,22,6,22,59,0,1,1,0,0,0,0,False,N/A,N/A,N/A
93,2020,3,23,3,9,7,21,0,0,0,0,0,0,0,False,N/A,N/A,N/A
